"sourceZone","id","title","phoneNumber","isExpired","expiresAt_dateTimeUtc","isLinkOut","contactMatches","isVerified","abstract","content","status","listedAt_label","listedAt_dateTimeUtc","salary","shareLink","workTypes_label","advertiser_id","advertiser_name","advertiser_isVerified","advertiser_registrationDate_dateTimeUtc","location_label","classifications_0_label","products_branding_id","products_branding_cover_url","products_branding_thumbnailCover_url","products_branding_logo_url","products_bullets_0","products_bullets_1","products_bullets_2","products_questionnaire_questions_0","products_questionnaire_questions_1","products_questionnaire_questions_2","products_questionnaire_questions_3","products_questionnaire_questions_4","products_video","products_bullets","products_branding_cover","products_branding_thumbnailCover","products_questionnaire","products_branding","contactMatches_0_type","contactMatches_0_value","contactMatches_1_type","contactMatches_1_value","contactMatches_2_type","contactMatches_2_value","products_questionnaire_questions_5"
"asia-1","86779454","(Senior) Account Manager, Medical Surgical Business",,false,"2025-10-22 20:59:59",false,,true,"You will have the opportunity to tap into your curiosity and collaborate with some of the most innovative and diverse people around the world.
","3M Health Care is now Solventum

At Solventum, we enable better, smarter, safer healthcare to improve lives. As a
new company with a long legacy of creating breakthrough solutions for our
customers’ toughest challenges, we pioneer game-changing innovations at the
intersection of health, material and data science that change patients' lives
for the better while enabling healthcare professionals to perform at their best.
Because people, and their wellbeing, are at the heart of every scientific
advancement we pursue. 




We partner closely with the brightest minds in healthcare to ensure that every
solution we create melds the latest technology with compassion and empathy.
Because at Solventum, we never stop solving for you.




The Impact You’ll Make in this Role
The Impact You’ll Make in this Role
As a(n) Account Manager/Senior Account Manager, you will have the opportunity to
tap into your curiosity and collaborate with some of the most innovative and
diverse people around the world. Here, you will make an impact by:

 * Implements sales strategy for our medical solutions to assigned
   territories/hospitals/clinics with sales target.

 * Supports in sales and marketing event including but not limited to related
   demonstration, seminars, workshops, exhibitions, or customer training.

 * Creates new business opportunities and collects updated market insights for
   the team.

 * Provides professional service to assigned customers/hospitals.




Your Skills and Expertise 
 

To set you up for success in this role from day one, Solventum requires (at a
minimum) the following qualifications:

 * Bachelor’s Degree in a Science or a recognized professional qualification in
   Health Care or related Subjects

 * At least 1 year of sales experience in Hong Kong Health Care market




Additional qualifications that could help you succeed even further in this role
include:

 * Good command of both written and spoken English and Chinese, both Cantonese
   and Mandarin.

 * Excellent computer literacy, good interpersonal and presentation skills with
   group presentation ability.

 * Team player with high degree of integrity and responsibility.

 * Self-starter with career mind, self-initiative and be able to work under
   pressure.

 * Outgoing, hardworking, positive, and aggressive working attitude.

 * Experience in using Salesforce CRM




Work location:

 * Kowloon Bay




Must be legally authorized to work in country of employment without sponsorship
for employment visa status (e.g., H1B status).




Supporting Your Well-being 

Solventum offers many programs to help you live your best life – both physically
and financially. To ensure competitive pay and benefits, Solventum regularly
benchmarks with other companies that are comparable in size and scope. 

Must be legally authorized to work in country of employment without sponsorship
for employment visa status (e.g., H1B status).




Supporting Your Well-being 

Solventum offers many programs to help you live your best life – both physically
and financially. To ensure competitive pay and benefits, Solventum regularly
benchmarks with other companies that are comparable in size and scope. ","Active","17d ago","2025-09-22 17:30:19",,"https://hk.jobsdb.com/job/86779454?tracking=SHR-WEB-SharedJob-asia-1","Full time","61291807","KCI Hong Kong Holding Limited",true,"2010-01-22 19:26:54","Kowloon Bay, Kwun Tong District","Sales (Healthcare & Medical)","9fa4f05e-67ff-4b03-88e1-ac1786cbd4b5.1","https://image-service-cdn.seek.com.au/fb9d91ead41d8e539e52296a51fdbce88964d9b3/e8c109fc543e1745e856e739a81d1c1ac360edc9","https://image-service-cdn.seek.com.au/fb9d91ead41d8e539e52296a51fdbce88964d9b3/33ade4294d2859491f8795edcf9c48ded31df19f","https://image-service-cdn.seek.com.au/e9a699a1ae9c8300eaa9363fdeb53f1f4f783e45/f3c5292cec0e05e4272d9bf9146f390d366481d0",,,,"How many years' experience do you have as an account manager?","Which of the following statements best describes your right to work in Hong Kong?","What's your expected monthly basic salary?","Which of the following languages are you fluent in?",,,,,,,,,,,,,,
"asia-1","86807327","Tax Administrative Assistant - 行政財稅助理",,false,"2025-10-10 20:59:59",false,,true,"- 大學本科或以上學歷，主修會計、財務、商業管理或相關領域
- 具備至少3 年相關財務記賬或稅務工作經驗。
- 全面負責香港及BVI公司的全盤賬務處理
- 專職處理稅務申報與年檢事宜
- 協助審計與編制財務報表
- 高效處理辦公室日常行政運營"," 【崗位職責】

1、全面賬務處理：獨立負責香港及 BVI 公司的全盤記賬、銀行對賬及會計分錄錄入，確保賬目準確無誤。

2、稅務申報管理：準時完成香港公司的利得稅、薪俸稅申報，並妥善處理 BVI 公司的年度檢續事宜。

3、審計與報告支援：協助年度審計工作，準備所需文件；參與編製月度管理報表及年度財務報表。

4、日常行政運營：高效處理辦公室日常行政事務，包括接待、通訊、會議管理、辦公用品管理及文件系統

維護。

5、系統與文件管理：熟練操作財務軟件（如 QuickBooks）及 Office 辦公軟件，確保所有財務與行政文件得到妥善歸檔與管理。




【任職要求】

1、大學本科或以上學歷，主修會計、財務、商業管理或相關領域。

2、 具備至少3年相關財務記賬或稅務工作經驗。

3、流利的普通話和英文使用，能作為工作語言高效溝通。

4、熟悉 MS Office 辦公軟件（特別是 Excel）及財務軟件（如 QuickBooks, Xero, Sage, 或類似軟件）。

5、有以下經驗者優先考慮：處理離岸公司（如 BVI, Cayman 等）賬務或年檢經驗者、持有相關會計資格者（如 LCC 中級/高級）、已獲取
ACCA、HKICPA 等專業資格者。







【備註說明】

該職位係由聯易融集團代為給集團關聯公司全權招聘，實際僱主信息如下：

公司名稱：國華投資控股有限公司

公司地址：香港九龍尖沙咀摩地道 68 號帝國中心四樓 406 室

聯絡電話：(852)3902-3393

簡歷投遞郵箱：bestchance619@163.com [簡歷投遞郵箱：bestchance619@163.com]","Active","29d ago","2025-09-10 16:05:23",,"https://hk.jobsdb.com/job/86807327?tracking=SHR-WEB-SharedJob-asia-1","Full time","63242564","Linklogis Hong Kong Limited",,"2025-08-27 17:17:23","Tsim Sha Tsui, Yau Tsim Mong District","Taxation (Accounting)","005cfa96-b926-4349-937b-49bb68bfe075.1","https://image-service-cdn.seek.com.au/fb5fe3a4b3eaa4ed48f9a110e0ef88190ebcffc1/11377ad1e9df4bd619d1fcff5cc50acad05568cd","https://image-service-cdn.seek.com.au/fb5fe3a4b3eaa4ed48f9a110e0ef88190ebcffc1/d5f8b98ceab95ad3f86a727ac6698152ab5d420c","https://image-service-cdn.seek.com.au/44c847fc2269e0150f8025f2310e182153332fd0/f3c5292cec0e05e4272d9bf9146f390d366481d0",,,,"Which of the following statements best describes your right to work in Hong Kong?","What's your expected monthly basic salary?","Which of the following languages are you fluent in?",,,,,,,,,"Phone","(852)3902-3393",,,,,
"asia-1","86226767","Technical Manager/ Assistant Manager (Hardline)",,false,"2025-10-14 18:42:12",false,,true,"Oversee technical governance for the global network to meet company requirements ","Job Responsibilities:

 * Oversee technical governance for the global network to meet company
   requirements 

 * Lead technical consultation to support clients and capability development 

 * Manage business direction and product development to enhance and expand on
   testing services to support location revenue 

 * Overseeing the testing of consumer products for compliance with regulatory,
   quality and performance requirements 

 * Providing technical support by managing risk in the form of the use of
   applicable regulations, standards interpretation and alignment of testing
   criteria 

 * Developing and evaluating correlation studies between locations to determine
   gaps in knowledge and test practices. Determine corrective and preventative
   action plans 

 * Demonstrating on the job supervision and training by applying best training
   applications such as presentation, application and feedback, and adult
   learning principles 

 * Initiating productivity improvement programs to find and fix process
   duplications, redundancies and inefficiencies 

 * Creating internal test methods, requirements, interpretation procedures to
   document best laboratory practices 

 * Utilizing quality expertise and product familiarity to assess risk based
   evaluations 

 * Enforcing test governance through scheduled integrity and technical audits to
   verify for compliance to testing and accreditation requirements 

 * Consulting on manufacturing processes to improve quality and performance
   defects 

 * Leading project capability development projects for new testing and/or
   services; and 

 * Driving the development and implementation of health, safety and
   environmental requirements at the test methodology level 




Requirements:

 * Degree or above in Engineering or Science related discipline

 * At least 8 years experience in testing laboratory and 3 years in supervisory
   position 

 * Experience in quality management systems for laboratories 

 * Good spoken and written Chinese and English. Mandarin is necessary 

 * Solid experience in problem solving, testing, consulting and analyzing data 

 * Strong understanding of laboratory capabilities and test set up principles 

 * Good communication, training and presentation skills 

 * Good understanding on industrial standards, regulations, practices, and
   procedures 

 * Experience in testing a wide range of consumer products. 

 * Strong auditing skill and knowledge 

 * Business trips are required

 * Candidate with less experience will be considered as Assistant Manager
   

We offer competitive salary and benefits to the right candidate.  Interested
parties please send your application with date of availability, present &
expected salary to the Human Resources Department, Bureau Veritas Hong
Kong Limited by mail or clicking “APPLY NOW”.  To submit your application by
mail, please mark ""Confidential"" and position applied on the envelope.

Our Benefits:

 * Double pay, Performance Bonus

 * 5-day Work Week

 * Public Holiday, Annual Leave, Marriage Leave, Maternity Leave & Paternity
   Leave

 * Life & Medical Insurance Benefits

 * Mandatory Provident Fund Contribution

 * Education & Training Subsidies

 * Excellent Training & Career Advancement Opportunities

Join us on Linkedin:  https://www.linkedin.com/company/bureau-veritas 

Mail 
Unit 702, 7/F, Harbourside HQ
8 Lam Chak Street
Kowloon Bay, Kowloon

Personal data collected will be used for recruitment purposes only.","Active","30d+ ago","2025-08-19 14:43:36",,"https://hk.jobsdb.com/job/86226767?tracking=SHR-WEB-SharedJob-asia-1","Full time","61301577","Bureau Veritas Hong Kong Limited",true,"2010-01-22 19:26:54","Kowloon Bay, Kwun Tong District","Laboratory & Technical Services (Science & Technology)","cd9dd483-c2c9-4ea9-bbda-30782ff2c45e.1","https://image-service-cdn.seek.com.au/7f81bb37a33a00d6876e430d8f9d49f87ce90413/8399f1d2f466865daef45432e4475aef67481355","https://image-service-cdn.seek.com.au/7f81bb37a33a00d6876e430d8f9d49f87ce90413/f1bd546f45c51931026df7ee7cba5a951caffd42","https://image-service-cdn.seek.com.au/67a664f2212a0e9b5cfa4f43695f8a375f26d6e2/f3c5292cec0e05e4272d9bf9146f390d366481d0","Experience in Quality Management Systems for Laboratories","Degree or above in Engineering or Science","Double pay, Performance Bonus, 5-day Work Week","Which of the following statements best describes your right to work in Hong Kong?","What's your expected monthly basic salary?",,,,,,,,,,,,,,,,
"asia-1","86226787","Wealth Management Consultant",,false,"2025-10-10 20:59:59",false,,true,"Delivers professional advice to clients on managing wealth, supporting them to build and safeguard their assets with customized financial strategies.
","Company Introduction:


As a leader in wealth management, IPP delivers innovative and intelligent
solutions to thousands of individuals and businesses across Singapore, Hong
Kong, Malaysia, Indonesia, and other fast-growing Asian cities. We are among the
largest wealth management firms in Singapore and have established strong
partnerships with leading insurance companies and fund management platforms in
Hong Kong. Additionally, we maintain close connections with private banks and
external asset managers, offering clients a wide selection of wealth management
vehicles tailored to their financial needs. Our goal is to help clients achieve
lifelong financial success.




Responsibilities:

- Manage individual and corporate investment accounts, building and maintaining
strong client relationships
- Conduct portfolio analysis and provide tailored recommendations
- Oversee clients’ wealth by matching financial solutions to their needs,
including investment, insurance, trusts and retirement
- Work closely with team members to deliver comprehensive wealth management
services
- Drive business development by identifying new opportunities and promoting our
services to potential clients

*IIQE/SFC license holders are a plus*




Requirements:

- Bachelor’s degree or above
- 1-5 years’ work experience (fresh graduates welcome)
- Strong market insight and analytical skills
- Proactive with a passion for achieving goals
- Excellent interpersonal and communication skills
- Team player with high integrity
- Proficient in Chinese and English




Package:

- Competitive remuneration with year-end bonus and incentive trips
- Fast-track career progression to senior management
- Ongoing training and professional growth opportunities
- Flexible working options to support work-life balance","Active","30d+ ago","2025-09-01 17:57:47",,"https://hk.jobsdb.com/job/86226787?tracking=SHR-WEB-SharedJob-asia-1","Full time","61290895","IPP Financial Advisers Holdings Limited",true,"2010-01-22 19:26:54","Tsim Sha Tsui, Yau Tsim Mong District","Financial Planning (Banking & Financial Services)","b868682a-e36a-4907-923c-70594c7d28b5.1","https://image-service-cdn.seek.com.au/363c7f39b5ff89bea887e896d7f50643a27c3744/a868bcb8fbb284f4e8301904535744d488ea93c1","https://image-service-cdn.seek.com.au/363c7f39b5ff89bea887e896d7f50643a27c3744/a868bcb8fbb284f4e8301904535744d488ea93c1","https://image-service-cdn.seek.com.au/7ae7915b1a7f5ab52f6c7c53350a83ecd9ab8161/ee4dce1061f3f616224767ad58cb2fc751b8d2dc","Attractive income with rapid promotion opportunities","Flexible working hours","Professional investment training and development","Which of the following statements best describes your right to work in Hong Kong?","What's your expected monthly basic salary?","How many years' experience do you have as a Wealth Management Consultant?","How many years' experience do you have in a wealth management?","Which of the following languages are you fluent in?",,,,,,,,,,,,,
"asia-1","86647832","($30-50k, 5 day work) Duty Engineer / Technical officer",,false,"2025-10-20 20:59:59",false,,true,"Requirements:

Certificate or above in Building Services Engineering / Electrical / Mechanical Engineering
Holder Registration of...","Requirements:

 * Certificate or above in Building Services Engineering / Electrical /
   Mechanical Engineering
   Holder Registration of Electrical Worker Grade B0
 * 3 years or above operation and maintenance experience in commercial
   buildings, ideally with experience in handling building service systems'
   problems
 * A track record of detailing and managing contractors to carry out high
   quality works and services (including handling of technical problem and
   failure)
 * Good command of written English for report preparation




Interested parties, please apply with full resume with detailed job duties,
available date, current & expected salary to Faithful Search.


Only shortlisted candidates will be notified. All information received will be
kept in strict confidential and only for recruitment purpose.","Active","30d+ ago","2025-08-31 09:16:40",,"https://hk.jobsdb.com/job/86647832?tracking=SHR-WEB-SharedJob-asia-1","Full time","61290591","Faithful Search Limited",true,"2010-01-22 19:26:54","Central, Central and Western District","Project Management (Engineering)","ba3cd269-e1fe-44f5-afe8-e5a95b841a03.1","https://image-service-cdn.seek.com.au/70e2fa33d47365a4baedcd9b473634d0f5aafee2/a868bcb8fbb284f4e8301904535744d488ea93c1","https://image-service-cdn.seek.com.au/70e2fa33d47365a4baedcd9b473634d0f5aafee2/a868bcb8fbb284f4e8301904535744d488ea93c1","https://image-service-cdn.seek.com.au/f8c816fd25c5d7d353982c5a90b204c1e0060fc1/ee4dce1061f3f616224767ad58cb2fc751b8d2dc","5 days, Performance bonus, Medical","Near MTR station","development opportunities","How many years' experience do you have as a technical officer?","Which of the following statements best describes your right to work in Hong Kong?","What's your expected monthly basic salary?",,,,,,,,,,,,,,,
"asia-1","86647886","Security Engineer (1-year renewable contract)",,false,"2025-10-20 20:59:59",false,,true,"Security Engineer role at BUPA Hong Kong.","Responsibilities

 * Drive the design and Implementation of enterprise security solutions with
   vendors and APAC team

 * Manage the security solutions

 * Perform other ad hoc duties as assigned

 

Qualifications, Training and Experience

 * Relevant Bachelor's/Master's degree holder from a recognized university

 * 3-5 years of relevant work experience on managing security technologies

 * Work experience in cloud security solution experience (Wiz preferred)

 * Work experience in web proxy / SASE solutions (Palo Alto Prisma SASE
   preferred)

 * Work experience cloud platforms (Azure, GCP preferred)

 * Experience in managing security solutions, such as Wiz, Palo Alto Prisma,
   Zscaler, MS Defender, Imperva, Cloudfare

 * Scripting skills, such as Terraforms, MS PowerShell, Python

 * Good communication skills and the ability to collaborate well with across
   departments

 * Able to demonstrate a positive, logical, and proactive approach while
   executing the assigned tasks

 * Certification holder in information security (CISSP, CISA, etc.) will be an
   advantage.

 * Ability to prioritize work and design schedules to meet the desired
   requirements




Bupa offers 5 days’ work per week and comprehensive remuneration packages
including base salary, study assistance plan, company pension plan, life and
medical benefit, dental benefit, annual leave, examination leave, etc.

Bupa is an equal opportunity employer and welcomes applications from qualified
candidates. Information provided will be treated in strict confidence and only
be used for consideration of application with Bupa. Personal data collected will
be used for recruitment purposes only. Bupa will be in touch for any
opportunities that matches your profile. All personal data of unsuccessful
application will be destroyed 24 months from the date of receiving the
application. Full version of Data Privacy Notice available upon request.","Active","22d ago","2025-09-18 10:52:33",,"https://hk.jobsdb.com/job/86647886?tracking=SHR-WEB-SharedJob-asia-1","Full time","61305404","BUPA Asia Limited",true,"2010-01-22 19:26:54","Ngau Tau Kok, Kwun Tong District","Security (Information & Communication Technology)","af965af0-7278-4b24-8c92-1603f8b3496a.2",,,"https://image-service-cdn.seek.com.au/088ad6cd9db7f0b0a94a66c78d977d3154530a69/f3c5292cec0e05e4272d9bf9146f390d366481d0",,,,"Which of the following programming languages are you experienced in?","Which of the following statements best describes your right to work in Hong Kong?","What's your expected monthly basic salary?","How many years' experience do you have as a Security Engineer?","Which of the following cybersecurity certifications have you completed?",,,,,,,,,,,,,"Which of the following languages are you fluent in?"
"asia-1","86515852","Marketing Executive / Senior Marketing Executive",,false,"2025-10-14 20:59:59",false,,true,"Job Responsibilities: Collaborate on content planning to ensure a consistent and powerful brand message across all channels. Assist in the...","Job Responsibilities:


 1.  Collaborate on content planning to ensure a consistent and powerful brand
     message across all channels.

 2.  Assist in the execution of loyalty programs to achieve company goals.

 3.  Explore new business opportunities, including brand partnerships.

 4.  Specializing in creating and editing engaging videos for social media that
     enhance our online storytelling.

 5.  Plan and execute marketing campaigns, including advertising, email, social
     media, and more.

 6.  Leading and revolutionizing our brand's social media, producing engaging
     content that resonates with audiences.

 7.  Generate breakthrough ideas and strategies to increase brand awareness and
     expand customer engagement.

 8.  Develop and execute a robust marketing strategy that drives brand
     awareness, customer acquisition, and revenue growth.

 9.  Gather insightful data on target audiences, market trends, and competitor
     activity through market research.

 10. Implement and improve the company's marketing activities, assist in the
     implementation and coordination of effective marketing activities and
     promotion programs.

 11. Monitor, research, and identify market trends and competitor activity,
     providing monthly analysis reports.

Requirements:


 1. Diploma or Degree holder preferable in Marketing or Business Studies

 2. At least 3 years of experience in sanitary ware or digital agency

 3. Experience in content marketing and digital marketing

 4. Learn about social media marketing and online advertising, among other
    things

 5. Ability to work under pressure and meet tight deadlines

 6. Good tracking, data analysis, system thinking and problem solving skills

 7. Good command of written and spoken English and Chinese

 8. Independent, mature, self-motivated and responsible


Interested parties please call 25133535 to know more about the company details. 
All information collected is strictly for recruitment purpose. ","Active","30d+ ago","2025-09-05 15:37:01",,"https://hk.jobsdb.com/job/86515852?tracking=SHR-WEB-SharedJob-asia-1","Full time","61276634","Luen Hing Hong Building Materials Ltd",true,"2010-01-22 19:26:54","Hung Hom, Kowloon City District","Public Relations & Corporate Affairs (Marketing & Communications)","40425f19-3c3d-4abf-9521-5d1a529a3d7c.2",,,"https://image-service-cdn.seek.com.au/c166d4b1d97459695eb8da62a020004bf4a8b85d/ee4dce1061f3f616224767ad58cb2fc751b8d2dc",,,,"Which of the following statements best describes your right to work in Hong Kong?","What's your expected monthly basic salary?","How many years' experience do you have as a marketing executive?","How many years' experience do you have in social media marketing?","How many years' experience do you have in digital marketing?",,,,,,,"Phone","25133535",,,,,"How many years' experience do you have in market research?"
"asia-1","86515884","AI Infrastructure Network Manager, Data Centre",,false,"2025-11-13 20:59:59",false,,true,"Ensuring network reliability, performance monitoring, and assisting in troubleshooting IP, BGP, EVPN, and NVIDIA InfiniBand (IB) networks.","Job Summary:  

We are looking for a skilled AI Infrastructure Network Manager to support the
operation and maintenance of our AI-driven network environment. This role
focuses on ensuring network reliability, performance monitoring, and assisting
in troubleshooting IP, BGP, EVPN, and NVIDIA InfiniBand (IB) networks. The ideal
candidate should have solid experience in enterprise/data centre networking,
network management systems, and incident response, working under the guidance of
senior supervisors. 




Key Responsibilities:  

 * Network Monitoring & Maintenance:  

  - Assist in daily network inspections, performance monitoring, and health
checks for AI infrastructure. 

  - Support troubleshooting of IP networks (IGP/BGP), EVPN, and NVIDIA
InfiniBand issues. 

  - Follow escalation procedures for critical incidents and collaborate with
senior engineers. 

 * Network Operations Support:  

  - Work with network management systems (NMS) for logging, alerts, and basic
configurations. 

  - Assist in implementing network changes and optimizations under supervision. 

 *  Vendor & Documentation Coordination:  

  - Liaise with vendors (Cisco, Huawei, NVIDIA) for hardware/software support as
needed. 

  - Maintain network documentation, including topology diagrams and incident
reports. 

 * Team Collaboration:  

  - Work closely with senior network supervisors and cross-functional teams. 

  - Provide guidance to junior engineers on standard procedures. 




Qualifications & Experience:  

 * Education: Bachelor’s degree in computer engineering, Telecommunications, or
   equivalent qualification.

 * Experience:  8-12 years in network operations, preferably in data
   centre/cloud/AI environments. 

 * Hands-on experience with IP networking (OSPF/BGP), EVPN, and basic InfiniBand
   knowledge. 

 * Familiarity with network monitoring tools (e.g., SolarWinds, Nagios,
   Prometheus). 

 * Certifications (Preferred but Not Mandatory):  

 * Cisco (CCNA/CCNP), Huawei (HCIP), or NVIDIA networking certifications. 

 * Soft Skills:  Strong analytical and problem-solving skills & Ability to work
   in a team and follow operational protocols. 

 * Language Skills: Fluent in English and Mandarin; Cantonese proficiency is a
   strong plus.

 * Preferred Skills:  Exposure to AI/ML infrastructure or high-performance
   computing (HPC) & Basic scripting skills (Python/Bash) for network automation
   tasks. 




Interested parties please apply in full resume with current and expected salary
by e-mail to hr@cmi.chinamobile.com [hr@cmi.chinamobile.com].  Please indicate
the reference in the subject line.




All personal data collected will be used for recruitment and employment related
purpose only.","Active","25d ago","2025-09-15 12:50:56",,"https://hk.jobsdb.com/job/86515884?tracking=SHR-WEB-SharedJob-asia-1","Full time","60247287","China Mobile International Limited",true,"2011-11-02 11:34:19","Kwai Hing, Kwai Tsing District","Help Desk & IT Support (Information & Communication Technology)","732dd3b2-62f6-4d05-9b7e-4b8a61744bce.1","https://image-service-cdn.seek.com.au/7173ee9416911277ffc20d1ed5627c27c593a3b0/a868bcb8fbb284f4e8301904535744d488ea93c1","https://image-service-cdn.seek.com.au/7173ee9416911277ffc20d1ed5627c27c593a3b0/a868bcb8fbb284f4e8301904535744d488ea93c1","https://image-service-cdn.seek.com.au/2b49328f7433c32a67b0974f090ff4fd24d136cf/ee4dce1061f3f616224767ad58cb2fc751b8d2dc","Bachelor’s degree in computer engineering, Telecommunications","8-12 years in network operations, preferably in data centre/cloud/AI environment","Fluent in English, Mandarin and Cantonese","Which of the following statements best describes your right to work in Hong Kong?","What's your expected monthly basic salary?","How many years' experience do you have as a Network Manager?","Which of the following languages are you fluent in?","Are you available to work outside your usual hours when required? (e.g. weekends, evenings, public holidays)",,,,,,,,,,,,,
"asia-1","86647672","Junior Video and Graphic Designer (New project)",,false,"2026-02-17 20:59:59",true,,true,"Create graphic designs and adapt artwork for app/web displays for publishing on external marketing channels and social media channels
","What Will You be Doing

 * Create graphic designs and adapt artwork for app/web displays for publishing
   on external marketing channels and social media channels

 * Manage simple video shooting and editing tasks, including camera operation,
   voice-over recording, subtitling, and post-production effects

 * Collaborate with the team to develop content along with a comprehensive
   execution plan, including storyboards and editing processes

 * Work closely with colleagues to generate innovative ideas and design
   concepts, maintaining a strong digital focus

Who Is Our Right Fit

 * Diploma or higher in Film & TV Production, Creative Media, Multimedia
   Design/Motion Graphics, or similar fields

 * 1 to 3 years of relevant experience in video production or graphic design,
   experience in app design and social media design is a plus

 * Strong proficiency in graphic design and video editing software such as
   Photoshop, Illustrator, and Premiere, as well as familiarity with hardware
   like cameras and lighting setups

 * Creative, proactive, and passionate, with the ability to work independently
   and demonstrate strong problem-solving skills

 * Capable of meeting tight deadlines and thriving in a fast-paced,
   team-oriented environment
   


","Active","30d+ ago","2025-09-05 16:10:55",,"https://hk.jobsdb.com/job/86647672?tracking=SHR-WEB-SharedJob-asia-1","Full time","60525991","Hong Kong Technology Venture Company Limited",true,"2012-05-16 15:05:04","Tseung Kwan O Industrial Estate, Sai Kung District","Graphic Design (Design & Architecture)","3f45f9bd-f9dc-4d34-99a9-6e68eccf8f37.1","https://image-service-cdn.seek.com.au/8604c3ee1bbdca2ef968fafadb557155b25b2571/f6dc7772578124f1c38a222a0120ce605193ce47","https://image-service-cdn.seek.com.au/8604c3ee1bbdca2ef968fafadb557155b25b2571/03ac2d0cdd1231fc3e94a19441cd6f05033ac6c7","https://image-service-cdn.seek.com.au/2166faae17451a2882479776cbca325b69e71f3e/ee4dce1061f3f616224767ad58cb2fc751b8d2dc","1 to 3 years of relevant experience in video production or graphic design","Strong proficiency in graphic design and video editing software","Experience in app design and social media design is a plus",,,,,,,,,,,,,,,,,,
"asia-1","86647694","助理舍監",,false,"2025-10-20 20:59:59",true,,true,"協助管理學生宿舍及處理相關日常行政工作；負責督導福利工作員和保健員工作，並與訓練和輔導人員合作，處理宿生的福利與訓練事務；","展亮技能發展中心（屯門）

Ref. no : C/SSC_TM/AW/08/25-AP2

[運作單位引言]

展亮技能發展中心為職業訓練局轄下的機構成員，致力為15歲或以上被評估為有公開就業潛能的殘疾人士，在關愛的學習環境中，提供職業訓練及輔助服務，以增強他們的就業能力及協助他們融入社會。

主要職責：

(a) 協助管理學生宿舍及處理相關日常行政工作；

(b) 負責督導福利工作員和保健員工作，並與訓練和輔導人員合作，處理宿生的福利與訓練事務；

(c) 協助推行及跟進宿生的全人發展計劃；

(d) 協助編制財政預算及有效地使用撥款；

(e) 協助部門舉辦員工訓練和發展計劃；及

(f) 協助籌劃宿舍的新工作項目。

入職條件：

(a) 持有認可的社會工作文憑；

(b) 已根據《社會工作者註冊條例》(第505章) 註冊為註冊社會工作者；

(c) 具院舍工作經驗者可獲優先考慮；

(d) 具良好人際關係技巧、解決問題及建設團隊的能力；及

(e) 具良好中、英文溝通及書寫能力。

備註：

(1) 上述職位之職級為「社會工作助理」。

(2) 獲取錄的申請人須輪班工作(包括通宵更)或在正常辦公時間外工作。

(3) 本局已採用香港警務處推行的性罪行定罪紀錄查核機制，準僱員須在聘用程序的最後階段進行有關查核。

(4) 申請人如在過去三個月內曾就該職位遞交申請表格，則無須重新遞交。

申請辦法：

填妥的申請表格 [VTC-1 (Rev. 11/2024)] 連同個人履歷，須電郵至vtchro-job@vtc.edu.hk
[連同個人履歷，須電郵至vtchro-job@vtc.edu.hk]。請在電郵標題註明所申請的職位及參考編號。

申請人應注意以下事項：

(1) 填妥的申請表 (VTC-1) 和個人履歷應合併為一個PDF 格式的文件，總文件大小在10MB 以下。

(2) 文件名稱應為「申請人的英文姓氏和名字」，例如「CHAN Siu-lam.pdf」。

(3) 郵件主旨請註明「申請助理舍監(C/SSC_TM/AW/08/25-AP2)」。

(4) 其他證明文件的正本及複印本請按要求於稍後提交。

截止申請日期：2025年9月10日

如在截止申請後的十星期內未有收到面試通知，即表示這項申請不獲接納。

本局保留不填補上述職位的權利。

申請人的資料只會用於有關本局的人事招聘事宜及將會在十二個月內銷毀。","Active","30d+ ago","2025-09-04 17:37:13",,"https://hk.jobsdb.com/job/86647694?tracking=SHR-WEB-SharedJob-asia-1","Full time","61277661","Vocational Training Council / VTC",true,"2010-01-22 19:26:54","Tuen Mun District","Community Development (Community Services & Development)","40580dc3-4b62-430f-9dce-d5c479cac9ac.1","https://image-service-cdn.seek.com.au/adbdfcce7bf12c61fa875c89e4607b1946143ace/a868bcb8fbb284f4e8301904535744d488ea93c1","https://image-service-cdn.seek.com.au/adbdfcce7bf12c61fa875c89e4607b1946143ace/a868bcb8fbb284f4e8301904535744d488ea93c1","https://image-service-cdn.seek.com.au/a6f2c3cf8d59efeb5d539af6f18a8049ceeaa6de/ee4dce1061f3f616224767ad58cb2fc751b8d2dc","協助推行及跟進宿生的全人發展計劃","持有認可的社會工作文憑","具院舍工作經驗者可獲優先考慮",,,,,,,,,,,,,,,,,,
